Bevölkerung Population   VZ/RFP 2000;Gde;Kt Ct;PLZ  NPA ;Ortsbezeichnung                             Localité ;BFS-Nr.  No OFS;;Gemeinde                Commune  ;Region Région;Bezirk                                       District 
;;BE;2722;Le Cernil;446;;Tramelan;2;COURTELARY
;;BE;2722;Les Reussilles;446;;Tramelan;2;COURTELARY
;;BE;2720;Tramelan-Dessous;446;;Tramelan;2;COURTELARY
;;BE;2720;Tramelan-Dessus;446;;Tramelan;2;COURTELARY
;;BE;2720;Tramlingen;446;;Tramelan;2;COURTELARY
445;1;BE;2537;Vauffelin;447;;Vauffelin;2;COURTELARY
;;BE;2535;Friedliswart;447;;Vauffelin;2;COURTELARY
;;BE;2535;Frinvillier;447;;Vauffelin;2;COURTELARY
;;BE;2537;Füglisthal;447;;Vauffelin;2;COURTELARY
901;1;BE;2613;Villeret;448;;Villeret;2;COURTELARY
643;1;BE;3237;Brüttelen;491;;Brüttelen;2;ERLACH
;;BE;3237;Gäserz;491;;Brüttelen;2;ERLACH
1123;1;BE;3235;Erlach;492;;Erlach;2;ERLACH
;;BE;3235;Cerlier;492;;Erlach;2;ERLACH
411;1;BE;2577;Finsterhennen;493;;Finsterhennen;2;ERLACH
689;1;BE;2076;Gals;494;;Gals;2;ERLACH
;;BE;2076;Bethlehem bei Gals;494;;Gals;2;ERLACH
;;BE;2076;Chules;494;;Gals;2;ERLACH
;;BE;2525;St. Johannsen;494;;Gals;2;ERLACH
;;BE;2525;St-Jean;494;;Gals;2;ERLACH
;;BE;2076;Zihlbrücke *;494;;Gals;2;ERLACH
812;1;BE;3236;Gampelen;495;;Gampelen;2;ERLACH
;;BE;3236;Champion;495;;Gampelen;2;ERLACH
;;BE;3236;Tannenhof (Anstalt);495;;Gampelen;2;ERLACH
;;BE;3236;Witzwil;495;;Gampelen;2;ERLACH
;;BE;2076;Zihlbrücke *;495;;Gampelen;2;ERLACH
2947;1;BE;3232;Ins;496;;Ins;2;ERLACH
;;BE;3232;Anet;496;;Ins;2;ERLACH
;;BE;3232;Lindenhof;496;;Ins;2;ERLACH
;;BE;3232;Witzwil (Anstalt);496;;Ins;2;ERLACH
492;1;BE;2576;Lüscherz;497;;Lüscherz;2;ERLACH
1107;1;BE;3225;Müntschemier;498;;Müntschemier;2;ERLACH
;;BE;3225;Monsmier;498;;Müntschemier;2;ERLACH
